"theta","design","n1","n2","rho","replicates","delta_bias","safe_bias","delta_var","safe_var","relbias_var","cover_delta","cover_safe","boot_keep","boot_total"
4,"paired",20,20,0.8,1000,0.0211241863205314,0.0444685112056986,0.0231723282499291,0.0294441436227811,-21.300722660514,0.941,0.91,14971567,1e+07
5,"paired",20,20,0.8,1000,0.0148176907304849,0.0382932472100621,0.0226434462509137,0.0288937841442931,-21.6321194280602,0.94,0.911,14971490,1e+07
0.05,"paired",100,100,0.8,86,NA,NA,97.7986138247976,0.333133455299223,29257.1877183437,NA,NA,988967,860000
0.1,"paired",100,100,0.8,270,NA,NA,46180.4768895631,0.315408557689175,14641378.7309203,NA,NA,3224545,2700000
0.5,"paired",100,100,0.8,1000,-0.0124543783318021,-0.0203331302329302,0.0258542983717006,0.0280455662371357,-7.81324166147032,0.959,0.943,10259496,1e+07
1,"paired",100,100,0.8,1000,0.000773526988281426,0.00282122234126603,0.00855181761754348,0.00877789997713591,-2.57558596226104,0.956,0.955,1e+07,1e+07
2,"paired",100,100,0.8,1000,0.00263149849958699,0.00636252701579282,0.00519987077736457,0.0053904326386033,-3.53518676541901,0.946,0.938,1e+07,1e+07
3,"paired",100,100,0.8,1000,-4.33195895368499e-05,0.00399730081973226,0.00461227965760388,0.00479428827311647,-3.79636361320177,0.96,0.951,1e+07,1e+07
4,"paired",100,100,0.8,1000,0.00479604267667066,0.00889671531442371,0.00440373073579723,0.00458539415085063,-3.96178407083507,0.956,0.947,1e+07,1e+07
5,"paired",100,100,0.8,1000,0.0046290216872007,0.00879413252368866,0.00430768959645951,0.00449220153697566,-4.10738340649737,0.943,0.939,1e+07,1e+07
