"theta","design","n1","n2","rho","true_absd","true_vd","true_fn_mean","true_fn_var","d_mean","absd_mean","fn_mean_est","absd_bias","fn_bias","absd_vs_fn_mean","fn_vs_fn_mean","mean_var_absd","mean_var_fn","Var_MC_absd","Var_MC_fn","relbias_var_absd","relbias_var_fn","relbias_var_absd_vsFN","relbias_var_fn_vsFN","rmse_absd","rmse_fn","cover_absd","cover_fn","fail_prop","mcse_bias_absd","mcse_bias_fn","mcse_varbar_absd","mcse_varbar_fn","mcse_cover_absd","mcse_cover_fn"
0.3,"indep",3,7,0,0.3,0.481815476190476,0.604771053877466,0.206067448582415,-0.332810540517214,0.667046515237746,0.878430032624096,0.367046515237747,0.578430032624097,0.0622754613602805,0.27365897874663,0.523462757544457,0.321181045138042,0.311408562258499,0.18700076186176,68.0951717409531,71.753869845447,154.02496180036,55.862096292995,0.667928583398741,0.722205091712634,0.96904,0.96551,0,0.0017646772006758,0.00136748221875738,0.000284242163128708,0.000522816796491479,0.000547736053222718,0.000577065333389557
0.4,"indep",3,7,0,0.4,0.486190476190476,0.645456953996167,0.229575796728466,-0.446031720187072,0.713323681245523,0.913565346445427,0.313323681245523,0.513565346445427,0.0678667272493564,0.26810839244926,0.529636313700696,0.33459007283488,0.346306188999742,0.21558015460493,52.9387376039908,55.204486910238,130.70215643295,45.7427471026576,0.666689174328714,0.692334719534558,0.9706,0.96813,0,0.00186093038289922,0.00146826480787673,0.000303793854322355,0.000550638632522746,0.000534187607493847,0.000555466498539741
0.5,"indep",3,7,0,0.5,0.491815476190476,0.696037651879045,0.257347063357182,-0.554182189832537,0.760687924526096,0.950557473853188,0.260687924526096,0.450557473853188,0.0646502726470513,0.254519821974143,0.536456517114293,0.348509187261594,0.385614392405175,0.248646960005207,39.117348231812,40.1622554541975,108.456436267829,35.4238057800898,0.673475114800069,0.672046509387983,0.97185,0.97024,0,0.00196370667973904,0.00157685433697982,0.000340286930792116,0.000588310885356437,0.000523044716061639,0.000537348512606111
0.6,"indep",3,7,0,0.6,0.498690476190476,0.755419818975164,0.288031373290007,-0.665838015439018,0.827432659388721,1.00227719977484,0.227432659388721,0.402277199774841,0.0720128404135574,0.246857380799677,0.545790232505795,0.368113800418636,0.428955584777851,0.286715815101912,27.2370035206443,28.3897786690949,89.489855313873,27.8033695475242,0.693308668472156,0.669731209816632,0.97349,0.97242,0,0.00207112429558887,0.00169326848167062,0.000378235297570315,0.000627487091909008,0.000508008069817794,0.000517873957638343
0.7,"indep",3,7,0,0.7,0.506815476190476,0.822453754488758,0.320385297917822,-0.779487804083078,0.902347409320799,1.06278109827247,0.202347409320799,0.362781098272473,0.0798936548320408,0.240327343783715,0.557569552814566,0.390452268525311,0.487839257270051,0.339682244251885,14.2937032035357,14.9463285563371,74.0309422555281,21.8695960965915,0.727171818029491,0.686504896335945,0.97203,0.97098,0,0.00220870834939802,0.00184304705379945,0.000428865362012477,0.000677615765760274,0.000521418057800073,0.000530828028649581
0.8,"indep",3,7,0,0.8,0.516190476190476,0.896000510723554,0.353373560973607,-0.883817101617807,0.976398354757024,1.12162559933165,0.176398354757024,0.321625599331645,0.0803978440334702,0.225625088608091,0.568718135642382,0.412322232109923,0.527094074999032,0.378798257669456,7.89689404940219,8.85008675771683,60.9396396480435,16.6816869303696,0.747131302797076,0.694433219130769,0.97329,0.97261,0,0.00229585294607262,0.00194627402405071,0.000459944188098276,0.000707540919863484,0.00050986837419083,0.000516137461341453
0.9,"indep",3,7,0,0.9,0.526815476190476,0.974984704685132,0.386220301820523,-0.995513060694918,1.06438362274468,1.19345350072347,0.164383622744683,0.293453500723467,0.0893989180595516,0.218468796038335,0.582864420453955,0.438510961831757,0.57387635061206,0.426809576544525,1.56620321299321,2.74159389345656,50.9150134538532,13.5390759534785,0.775172617727966,0.716184519195726,0.9732,0.9726,0,0.00239557164495671,0.00206593701875087,0.00049871423127905,0.000742885580513509,0.000510703044831339,0.000516229018944111
1,"indep",3,7,0,1,0.538690476190476,1.05843065712424,0.418415020250025,-1.10995045614626,1.15986099995259,1.27352429929981,0.159860999952586,0.273524299299814,0.101430342828345,0.215093642175573,0.599725108342591,0.467587032035073,0.631282888051717,0.486832918163457,-4.99899178425702,-3.95328364420959,43.3325954656752,11.7519709870035,0.810451796548485,0.749428843948329,0.97296,0.9725,0,0.00251253435409691,0.00220642905656052,0.000574715267459084,0.000804139107956103,0.00051292142088238,0.000517143597079186
1.2,"indep",3,7,0,1.2,0.566190476190476,1.23541014376114,0.479952252882563,-1.33273337486418,1.35939386352433,1.44443396592144,0.159393863524333,0.244433965921443,0.123983719763196,0.209023822160306,0.637001272354579,0.528563252940083,0.725028312721148,0.595027226404855,-12.1411866022431,-11.1699045884583,32.7218006642931,10.1282991725877,0.866272166335293,0.809178126143232,0.97363,0.97326,0,0.00269263497845725,0.00243931799158055,0.000683769091291964,0.000889595143387993,0.000506701323266478,0.000510146767117072
1.4,"indep",3,7,0,1.4,0.598690476190476,1.42157595147261,0.537812290385229,-1.54889276847398,1.56062388304484,1.62258685372353,0.160623883044843,0.222586853723528,0.139047931572237,0.201010902250922,0.678809204173239,0.591401962435794,0.806360807002308,0.696525756842798,-15.818179867056,-15.0925925386461,26.2167518869855,9.96438218475428,0.912224081680946,0.863749789601,0.96817,0.95204,0,0.00283964928644773,0.00263917744163366,0.000810586924035314,0.000985111335460636,0.000555129274133512,0.00067572064050168
1.6,"indep",3,7,0,1.6,0.636190476190476,1.61332917400815,0.593359452484663,-1.77735018508781,1.7827993071691,1.82566852721053,0.182799307169102,0.225668527210532,0.169470133160953,0.212339353202384,0.730709561892028,0.66279698616649,0.89394094099161,0.807160447307764,-18.2597497904635,-17.885348770841,23.147875850333,11.7024399613189,0.962988882741489,0.926325353143624,0.95323,0.93267,0,0.00298988451447813,0.00284105692886954,0.000941972159899113,0.00108480437147192,0.00066770178298399,0.000792443506503776
