ES.ID,Study,Year,Category,Sub_category,Response,same_trt,experiment,Ctrl-shared_YN,Shared-Control,LaterDiet,TrtFood,TrtResponse,TrtSE,TrtSD,CtrlFood,CtrlResponse,CtrlSE,CtrlSD,nTrt,nCtrl,Species,Sp_group,age_treated,sex,Trt_magnitude,Trt_duration,Recovery,LoH
32,Alverez & Nicieza 2002,2002,Mobility,distance,LS adjusted maximum jump (mm) - 17 degC,ss,i,N,NA,flies ad lib,LPC,193.3,0.578,1.917009129,HPC,173.4,0.72,2.387969849,11,11,Discoglossus.galganoi,Amphibian,juvenile,Mixed,NA,NA,NA,higher
33,Alverez & Nicieza 2002,2002,Mobility,distance,LS adjusted maximum jump (mm) - 22 degC,tt,j,N,NA,flies ad lib,LPC,185.7,0.578,1.529244258,HPC,176.7,0.866,2.121258117,7,6,Discoglossus.galganoi,Amphibian,juvenile,Mixed,NA,NA,NA,higher
34,Auer et al 2010,2010,Condition,size_growth,"adult growth rate at Litter 1 (mass, mg/day)",i,k,N,NA,ad libitum,Reduced,9.137,0.396,1.857404641,Ad libitum,9.766,0.324,1.519694706,22,22,Poecilia.reticulata,Fish,juvenile,Female,0.5,0.285714286,0.428571429,higher
35,Auer et al 2010,2010,Reproduction,mating,Interlittler interval (days) - Litter 2,i,k,N,NA,ad libitum,Reduced,22.006,0.33,1.547837201,Ad libitum,22.194,0.341,1.599431774,22,22,Poecilia.reticulata,Fish,juvenile,Female,0.5,0.285714286,0.605633803,lower
36,Auer et al 2010,2010,Condition,body_composition,Extractable fat (mg),i,k,N,NA,ad libitum,Reduced,39.02,,11.40058198,Ad libitum,34.257,,10.18729586,22,22,Poecilia.reticulata,Fish,juvenile,Female,0.5,0.285714286,0.8,higher
37,Auer et al 2010,2010,Reproduction,mating,age at maturity,i,k,N,NA,ad libitum,Reduced,49.4,1.3,6.097540488,Ad libitum,43.3,1.5,7.03562364,22,22,Poecilia.reticulata,Fish,juvenile,Female,0.5,0.285714286,0.428571429,lower
38,Auer et al 2010,2010,Condition,size_growth,"adult size at maturity (mass, mg)",i,k,N,NA,ad libitum,Reduced,161.3,6.1,28.61153613,Ad libitum,242.5,6.6,30.95674401,22,22,Poecilia.reticulata,Fish,juvenile,Female,0.5,0.285714286,0.428571429,higher
39,Bae et al. 2003,2003,Condition,stress_tolerance,Minimum body temperature,p,l,N,NA,ad libitum,FR,23.7,0.7,2.711088342,Ad libitum,23.9,0.5,1.802775638,15,13,Phodopus.sungorus,Mammal,juvenile,Mixed,0.75,0.261538462,NA,lower
40,Bae et al. 2003,2003,Condition,stress_tolerance,Latency to first torpor bout (d),p,l,N,NA,ad libitum,FR,86,4,12.64911064,Ad libitum,91,4,13.26649916,10,11,Phodopus.sungorus,Mammal,juvenile,Mixed,0.75,0.261538462,0.360465116,lower
41,Bae et al. 2003,2003,Condition,stress_tolerance,Duration of torpor (min),p,l,N,NA,ad libitum,FR,116.8,10,31.6227766,Ad libitum,139.4,23,76.28237018,10,11,Phodopus.sungorus,Mammal,juvenile,Mixed,0.75,0.261538462,NA,higher
