"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
2,"indep",10,10,0.320926943086197,0.312658938866855,0.318441017952316,-0.00826800421934248,-0.00248592513388135,0.205643120186125,0.127692226983138,44.1888439618705,-10.4672474578718,0.344640900466818,0.375766763025044,0.96,0.95,1438546,1e+06,0.0346277448141986,0.037765154209003,0.104861214840802,0.00724224965607291,0.0195959179422654,0.0217944947177034,0,0,1.438546
2.5,"indep",10,10,0.553455545741402,0.548795204660112,0.550612169450788,-0.00466034108129043,-0.00284337629061437,0.069415120867044,0.0836991353052291,41.6875543305657,70.8435515612758,0.231338101478771,0.220249525161017,0.96,0.97,1449203,1e+06,0.0232456357187271,0.0221340654645532,0.00209455566731695,0.00303442032123992,0.0195959179422654,0.017058722109232,0,0,1.449203
3,"indep",10,10,0.740802270462108,0.767468841359682,0.759850262027506,0.0266665708975742,0.0190479915653982,0.0541865791575379,0.0639710505395694,9.74703059681958,29.5640534986638,0.23011967454919,0.221907995333193,0.94,0.96,1448831,1e+06,0.0229720864017264,0.0222202774828615,0.00144928499287822,0.00193942776860291,0.0237486841740758,0.0195959179422654,0,0,1.448831
4,"indep",10,10,1.03343137973649,1.09183392461088,1.07667840683402,0.0584025448743948,0.0432470270975314,0.0407673626656955,0.0491639246589145,15.8230015292315,39.6782364276919,0.19751888213059,0.191615005856385,0.95,0.97,1449743,1e+06,0.0189637750233034,0.0187611260233042,0.000489138260521657,0.000838309790238907,0.0217944947177034,0.017058722109232,0,0,1.449743
5,"indep",10,10,1.2588482363055,1.28137416919109,1.26503141475428,0.0225259328855945,0.00618317844878535,0.036769527942168,0.0441127592241152,-15.9719803299282,0.809230012827489,0.211146169905372,0.208228951568178,0.92,0.96,1449664,1e+06,0.021099879700299,0.020918568566304,0.000383161398426789,0.000660646071110984,0.0271293199325011,0.0195959179422654,0,0,1.449664
0.2,"indep",20,20,NA,-1.58705311585647,-2.10499104075887,NA,NA,6.053513131919,0.3870625099016,188.668914503656,-81.5424676310341,NA,NA,NA,NA,498383,420000,NA,NA,1.18569896975195,0.0103781753772508,NA,NA,0.58,0.58,0.498383
0.3,"indep",20,20,NA,-1.39308571600656,-1.77533202985389,NA,NA,5.44587540505102,0.371382391321277,246.610048610064,-76.3628693029962,NA,NA,NA,NA,612300,510000,NA,NA,1.06682489505296,0.0101386351671682,NA,NA,0.49,0.49,0.6123
0.4,"indep",20,20,-1.75327894865999,-1.11139490833351,-1.31229375317515,0.641884040326484,0.440985195484842,2.39650585686919,0.344115916706004,156.523735012546,-63.1655812658802,0.872860609167491,1.05516663417662,0.688524590163934,0.622950819672131,767714,610000,0.0763621330471232,0.123754372531694,0.625083929353433,0.0102572562493049,0.0592934462559748,0.0620527401202028,0.39,0.39,0.767714
0.5,"indep",20,20,-1.29513358272291,-1.15775300583971,-1.39693257376599,0.137380576883202,-0.10179899104308,3.30337733610128,0.346005609084496,167.996988568678,-71.9291949335838,0.675742699444953,1.10729183134701,0.917808219178082,0.849315068493151,924145,730000,0.0779738892326206,0.129942945021952,0.704418716028164,0.00878504876463958,0.0321461329375541,0.0418704759034147,0.27,0.27,0.924145
0.6,"indep",20,20,-1.02011041426328,-0.86593884617514,-0.969485440237017,0.154171568088137,0.0506249740262606,1.65883632776593,0.298409168722006,159.497916689421,-53.3187474205658,0.567847078150808,0.796128570642394,0.85,0.8,1065889,8e+05,0.0614880282427849,0.0893901852991817,0.447963388948469,0.0115154372989547,0.0399217985566783,0.0447213595499958,0.2,0.2,1.065889
0.7,"indep",20,20,-0.817377860209195,-0.698719441325975,-0.73377211594264,0.11865841888322,0.0836057442665555,0.861458074426304,0.269084588428603,102.130999076238,-36.8624680530002,0.48101708775746,0.654555195658594,0.888888888888889,0.877777777777778,1227182,9e+05,0.049412005358158,0.0688144046595171,0.2844857369514,0.0104952532504535,0.0331269329999969,0.0345259887005079,0.1,0.1,1.227182
0.8,"indep",20,20,-0.654666659991881,-0.633704605039562,-0.667317587413345,0.0209620549523188,-0.0126509274214639,0.858681608975836,0.249592687785012,68.7450748744623,-50.9509271560684,0.504097760894512,0.709734175604563,0.927083333333333,0.90625,1326296,960000,0.0516746038399029,0.0728056210999691,0.306131020666256,0.0107234259440297,0.026536104804918,0.0297491136947809,0.04,0.04,1.326296
0.9,"indep",20,20,-0.51781874475336,-0.659189113111842,-0.713318970256669,-0.141370368358482,-0.195500225503309,1.1095161468009,0.250205040421405,123.248808447098,-49.6555527356737,0.549205669126754,0.728103988199429,0.948979591836735,0.857142857142857,1346444,980000,0.053884305802966,0.0712129867297377,0.320364874876364,0.0119030225425336,0.0222273333556515,0.035347975664671,0.02,0.02,1.346444
1,"indep",20,20,-0.399253848108886,-0.447070448703222,-0.435174068486259,-0.047816600594336,-0.0359202203773734,0.32618207462992,0.207136561871525,65.9501239176125,5.38389686020697,0.386627013391249,0.442582197408564,0.94,0.95,1422852,1e+06,0.0385591530607456,0.044334442824011,0.0897504292500363,0.0101264833561131,0.0237486841740758,0.0217944947177034,0,0,1.422852
1.2,"indep",20,20,-0.200238783298563,-0.206441080732699,-0.189157987761362,-0.00620229743413628,0.011080795537201,0.312716429439068,0.1438677014013,82.6522257404196,-15.9693786468429,0.361899093909188,0.411848707814218,0.92,0.91,1469693,1e+06,0.0363668854920547,0.0413773682954293,0.184652188864462,0.00851587024388439,0.0271293199325011,0.0286181760425084,0,0,1.469693
1.4,"indep",20,20,-0.0362853464174178,-0.0650703308404464,-0.044785996711968,-0.0287849844230286,-0.00850065029455019,0.098902677586622,0.112822920752707,12.6909321630175,28.5518291235485,0.307078390613829,0.294888377333169,0.94,0.94,1481506,1e+06,0.0307266479703266,0.0296250804935631,0.00921903805747606,0.00755092912823004,0.0237486841740758,0.0237486841740758,0,0,1.481506
1.6,"indep",20,20,0.103507084692163,0.0635845387757131,0.0776918086849493,-0.0399225459164502,-0.025815276007214,0.0716050873831975,0.0846457790384267,21.88899075605,44.0873680320997,0.257021202044683,0.242538894578829,0.95,0.97,1491595,1e+06,0.0255180840269106,0.0242376047480176,0.00496704979091218,0.00526605807365569,0.0217944947177034,0.017058722109232,0,0,1.491595
1.8,"indep",20,20,0.225537809680109,0.21887657514385,0.225194573686098,-0.00666123453625894,-0.000343235994010788,0.0518935213442279,0.0607613103519406,18.6120389111991,38.8809762966964,0.21836192768116,0.208118349521503,0.93,0.95,1496334,1e+06,0.0219359857047556,0.0209166526854009,0.00192060126745317,0.00265144177561838,0.0255147016443461,0.0217944947177034,0,0,1.496334
2,"indep",20,20,0.333914686287828,0.322052564933044,0.324090438369044,-0.0118621213547834,-0.00982424791878334,0.0442627608250727,0.050897433124862,12.8425832706458,29.7568820515375,0.205604555441911,0.197305579728068,0.97,0.97,1496596,1e+06,0.0206296156868756,0.0198053599378876,0.00170289555792462,0.00230886383215745,0.017058722109232,0.017058722109232,0,0,1.496596
2.5,"indep",20,20,0.561652450629241,0.559498433882478,0.554373200674144,-0.00215401674676263,-0.00727924995509677,0.0313994030302584,0.035392865159435,19.0796811976887,34.2245613968167,0.165598913902313,0.161733424080428,0.98,0.98,1496869,1e+06,0.0166419090352695,0.0162383487320648,0.000669698244346593,0.000749215488637881,0.014,0.014,0,0,1.496869
3,"indep",20,20,0.746452048089074,0.745895918022587,0.737678479556796,-0.000556130066487026,-0.00877356853227851,0.0253898369980446,0.028707509981084,27.1090586413438,43.7183141393779,0.142260552584899,0.140897380057304,0.98,0.99,1496940,1e+06,0.0142976142465281,0.0141332390656596,0.000349845031557448,0.000395907131847693,0.014,0.0099498743710662,0,0,1.49694
4,"indep",20,20,1.03658596433312,1.09517214872221,1.08409845106843,0.0585861843890925,0.0475124867353072,0.0191866894733296,0.0219494511593515,-1.55110030547151,12.6249173178468,0.151929543967539,0.146804392695784,0.95,0.96,1496930,1e+06,0.0140885530326809,0.0139602948215682,0.000176782178671072,0.00019672890262628,0.0217944947177034,0.0195959179422654,0,0,1.49693
5,"indep",20,20,1.26086031145536,1.23953833447239,1.22736601112812,-0.0213219769829702,-0.0334943003272345,0.0175868736958469,0.0205884580792787,54.5214598433493,80.8939242615371,0.108994158569016,0.111308409205592,1,1,1496883,1e+06,0.010742674224418,0.0106684154842285,9.57155791176157e-05,0.000164807255242958,0,0,0,0,1.496883
0.2,"indep",100,100,-2.30258509299405,-1.8809738316867,-2.03345032234201,0.421611261307349,0.269134770652034,2.21114572324788,0.328851240029557,227.556065270811,-51.2844327214732,0.668899929945094,0.859202998161077,0.821917808219178,0.780821917808219,922546,730000,0.0611999297180263,0.0961622086831427,0.546210684144272,0.00911054518990685,0.0447778266971195,0.0484187004627364,0.27,0.27,0.922546
