"Category","age","sex","magnitude","duration","Recovery","Sub.cat","same.trt","same.ctrl","Study","Species","Species.no.phylo","ES.ID","Sp.group","m1i","m2i","sd1i","sd2i","n1i","n2i","nCtrl"
"Condition","youngest","Mixed",1,0.285714286,0.80952381,"feeding_rate","ii","A","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","69","Gastropod",0.246,0.236,0.05,0.048,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.684210526,"feeding_rate","jj","A","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","70","Gastropod",0.246,0.236,0.047,0.048,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.904761905,"feeding_rate","u","A","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","71","Gastropod",0.161,0.236,0.061,0.048,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.555555556,"size_growth","ii","B","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","72","Gastropod",1.587,1.9,0.24,0.227,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.777777778,"size_growth","u","B","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","73","Gastropod",1.733,1.9,0.127,0.227,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.555555556,"body_composition","ii","C","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","74","Gastropod",2.489,2.808,0.181,0.415,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.777777778,"body_composition","u","C","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","75","Gastropod",2.904,2.808,0.479,0.415,3,3,3
"Longevity","youngest","Mixed",1,0.285714286,0.80952381,"survival","ii","D","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","76","Gastropod",39.881,36.32,14.777,6.766,6,6,6
"Longevity","youngest","Mixed",1,0.285714286,0.684210526,"survival","jj","D","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","77","Gastropod",44.154,36.32,20.297,6.766,6,6,6
"Longevity","youngest","Mixed",1,0.285714286,0.904761905,"survival","u","D","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","78","Gastropod",29.021,36.32,10.682,6.766,6,6,6
"Condition","youngest","Mixed",1,0.285714286,0.80952381,"size_growth","ii","E","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","79","Gastropod",158.571,154.643,10.357,5.714,6,6,6
"Condition","youngest","Mixed",1,0.285714286,0.684210526,"size_growth","jj","E","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","80","Gastropod",135,154.643,2.143,5.714,6,6,6
"Condition","youngest","Mixed",1,0.285714286,0.904761905,"size_growth","u","E","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","81","Gastropod",135.714,154.643,19.286,5.714,6,6,6
"Condition","youngest","Mixed",1,0.285714286,0.80952381,"body_composition","ii","F","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","82","Gastropod",833.036,846.429,16.071,24.107,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.684210526,"body_composition","jj","F","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","83","Gastropod",752.679,846.429,26.786,24.107,3,3,3
"Condition","youngest","Mixed",1,0.285714286,0.904761905,"body_composition","u","F","Chiu et al 2008","Crepidula.onyx","Crepidula.onyx","84","Gastropod",768.75,846.429,32.143,24.107,3,3,3
"Reproduction","youngest","Mixed",NA,0.5,0.963601068,"egg_offspring_quality","ca","G","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","85","Bird",1.022,1.293,0.845470875,0.633930596,29,27,27
"Reproduction","youngest","Mixed",NA,1,0.927202135,"egg_offspring_quality","cb","G","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","86","Bird",0.9,1.293,1.265,0.633930596,25,27,27
"Reproduction","youngest","Mixed",NA,0.5,0.927202135,"egg_offspring_quality","e","G","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","87","Bird",1.275,1.293,0.752945549,0.633930596,23,27,27
"Reproduction","youngest","Mixed",NA,0.5,0.963601068,"egg_offspring_quality","ca","H","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","88","Bird",6.26,5.91,0.593969696,0.785748051,18,14,14
"Reproduction","youngest","Mixed",NA,1,0.927202135,"egg_offspring_quality","cb","H","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","89","Bird",5.6,5.91,0.72,0.785748051,16,14,14
"Reproduction","youngest","Mixed",NA,0.5,0.927202135,"egg_offspring_quality","e","H","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","90","Bird",6.35,5.91,0.432666153,0.785748051,13,14,14
"Condition","youngest","Mixed",NA,0.5,0.85,"size_growth","ca","I","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","91","Bird",17.404,16.739,1.639734125,1.776,38,36,36
"Condition","youngest","Mixed",NA,1,0.7,"size_growth","cb","I","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","92","Bird",16.635,16.739,1.92272593,1.776,35,36,36
"Condition","youngest","Mixed",NA,0.5,0.7,"size_growth","e","I","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","93","Bird",16.443,16.739,1.95,1.776,36,36,36
"Mobility","youngest","Female",NA,0.5,0.966071025,"agility","ca","J","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","94","Bird",19.9,59.4,50.99879018,68.90048476,14,18,14
"Mobility","youngest","Female",NA,1,0.932142049,"agility","cb","J","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","95","Bird",19.9,3.8,50.99879018,46.52,14,16,14
"Mobility","youngest","Female",NA,0.5,0.932142049,"agility","e","J","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","96","Bird",19.9,48.5,50.99879018,18.78492215,14,13,14
"Mobility","youngest","Male",NA,0.5,0.966071025,"agility","ca","K","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","97","Bird",48.5,1.4,4.489988864,27.92598073,14,11,14
