,Telostylinus angusticollis,Poecilia reticulata,Phodopus sungorus,Taeniopygia guttata,Coenagrion puella,Rana temporaria,Crepidula onyx,Encope michelini,Panorpa cognata,Sturnus vulgaris,Petrolisthes laevigatus,Oligosoma maccanni,Scathophaga stercoraria,Simochromis pleurospilus,Gadus macrocephalus,Coenagrion ornatum,Coenagrion hastulatum,Coenagrion mercuriale,Anopheles stephensi,Salmo trutta,Dichochrysa prasina,Crangon crangon,Solea solea,Tribolium castaneum,Leodia sexiesperforata,Mellita tenuis,Gasterosteus aculeatus,Xiphophorus helleri,Melospiza melodia,Cherax quadricarinatus,Pseudacris crucifer,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Anopheles gambiae,Brachionus calyciflorus,Chrysoperla carnea,Culex quinquefasciatus,Piaractus mesopotamicus,Portunus trituberculatus,Salamandra salamandra,Danaus plexippus,Riparia riparia,Balanus glandula,Scaphiopus couchii,Nicrophorus vespilloides,Rissa brevirostris,Lithobates sylvaticus
Telostylinus angusticollis,1,0,0,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,0.924717691,0,0,0.481806775,0.481806775,0.481806775,0.658720201,0,0.611041405,0.335006274,0,0.611041405,0,0,0,0,0,0.335006274,0,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.658720201,0.055207026,0.611041405,0.658720201,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Poecilia reticulata,0,1,0.454203262,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0.850690088,0.814303639,0,0,0,0,0.74153074,0,0,0.839397742,0,0.141781681,0.141781681,0.839397742,0.947302384,0.454203262,0,0.454203262,0,0,0,0,0,0,0,0,0,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Phodopus sungorus,0,0.454203262,1,0.598494354,0,0.558343789,0,0.141781681,0,0.608531995,0,0.608531995,0,0.454203262,0.454203262,0,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.608531995,0,0.558343789,0,0,0,0,0,0,0,0,0,0.454203262,0,0.55859473,0,0.608531995,0,0.55859473,0,0.608531995,0.55859473
Taeniopygia guttata,0,0.454203262,0.598494354,1,0,0.558343789,0,0.141781681,0,0.944792974,0,0.64868256,0,0.454203262,0.454203262,0,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.952321205,0,0.558343789,0,0,0,0,0,0,0,0,0,0.454203262,0,0.55859473,0,0.944792974,0,0.55859473,0,0.895859473,0.55859473
Coenagrion puella,0.481806775,0,0,0,1,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0,0,0.997214555,0.985194479,0.9902133,0.481806775,0,0.481806775,0.335006274,0,0.481806775,0,0,0,0,0,0.335006274,0,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.055207026,0.481806775,0.481806775,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Rana temporaria,0,0.454203262,0.558343789,0.558343789,0,1,0,0.141781681,0,0.558343789,0,0.558343789,0,0.454203262,0.454203262,0,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.558343789,0,0.805520703,0,0,0,0,0,0,0,0,0,0.454203262,0,0.627352572,0,0.55859473,0,0.766624843,0,0.55859473,0.949811794
Crepidula onyx,0.055207026,0,0,0,0.055207026,0,1,0,0.055207026,0,0.055207026,0,0.055207026,0,0,0.055207026,0.055207026,0.055207026,0.055207026,0,0.055207026,0.055207026,0,0.055207026,0,0,0,0,0,0.055207026,0,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.136762861,0.055207026,0.055207026,0,0.055207026,0,0.055207026,0,0.055207026,0,0.055207026,0,0
Encope michelini,0,0.141781681,0.141781681,0.141781681,0,0.141781681,0,1,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681,0,0,0,0,0.141781681,0,0,0.141781681,0,0.969861982,0.971066499,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0,0,0,0,0,0,0,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681
Panorpa cognata,0.658720201,0,0,0,0.481806775,0,0.055207026,0,1,0,0.335006274,0,0.658720201,0,0,0.481806775,0.481806775,0.481806775,0.658720201,0,0.611041405,0.335006274,0,0.611041405,0,0,0,0,0,0.335006274,0,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.658720201,0.055207026,0.611041405,0.658720201,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Sturnus vulgaris,0,0.454203262,0.608531995,0.944792974,0,0.558343789,0,0.141781681,0,1,0,0.64868256,0,0.454203262,0.454203262,0,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.944792974,0,0.558343789,0,0,0,0,0,0,0,0,0,0.454203262,0,0.55859473,0,0.944792974,0,0.55859473,0,0.895859473,0.55859473
