"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","med_var_delta","med_var_safe","trim_var_delta","trim_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.8,"indep",10,10,0,-0.757063866314888,0.373455033296425,0.150274057857071,792,-0.636598524845504,-0.466271825491317,0.120465341469384,0.290792040823571,53.6388029610278,0.340570427774022,0.460459983431072,0.361365452327337,0.970260627260236,0.351187463853558,159.806547175415,133.697997419874,0.622491283199058,0.440686300603374,0.878787878787879,0.911616161616162,10006639,7920000
0.9,"indep",10,10,0,-0.593721751187363,0.351316653628746,0.162011548759662,846,-0.516084850146901,-0.39284663545807,0.0776369010404616,0.200875115729293,106.439000733461,0.317552260000034,0.34508655540509,0.333473032442949,0.62915265223521,0.324153807128386,79.0842095689742,100.080679192355,0.597435246800707,0.395981942950243,0.887706855791962,0.92789598108747,10918308,8460000
1,"indep",10,10,0,-0.458145365937078,0.346786449322358,0.164407140396008,898,-0.471868314195894,-0.361160400011714,-0.0137229482588168,0.0969849659253639,16.6886827530144,0.309183512812607,0.320287841860098,0.323114579065711,0.565504737094003,0.315956491679961,63.0700213918491,92.1793000711012,0.588717752564304,0.375203445964277,0.898663697104677,0.927616926503341,11650095,8980000
1.5,"indep",10,10,0,0.0123463062951856,0.190011958001967,0.146475280708903,992,-0.0174088770050241,-0.0161311690106436,-0.0297551833002097,-0.0284774753058292,1.15020709607561,0.207936873164158,0.13554011096883,0.184707842130722,0.168883199123082,0.199706591933373,-11.1196995710482,36.3414980103427,0.436698734395571,0.374262224521554,0.929435483870968,0.939516129032258,13814613,9920000
2,"indep",10,10,0,0.320926943086197,0.107268947544603,0.109291729081153,1000,0.309073303181753,0.29834210917544,-0.0118536399044447,-0.0225848339107569,0.121618076949549,0.129761457011382,0.0846700276064148,0.10358174728356,0.0925967709631508,0.117085958680945,-13.6779346840815,7.13158229384749,0.327570125890691,0.33119859914385,0.944,0.952,14358083,1e+07
3,"indep",10,10,0,0.740802270462108,0.0588779921780246,0.0631530003557068,1000,0.740805812652711,0.746943826660621,3.54219060383354e-06,0.00614155619851364,0.0561352087097362,0.0667483677968929,0.0523399085760201,0.0614247219818113,0.0538053440147881,0.0632505507623577,-8.61552504694583,0.154466780836149,0.242526522669983,0.251251997142094,0.944,0.954,14494088,1e+07
4,"indep",10,10,0,1.03343137973649,0.0454365540730932,0.046842822390609,1000,1.05235326053716,1.06638124604682,0.0189218808006701,0.0329498663103318,0.0421678630603199,0.0503683302999827,0.0411441134851937,0.0487587739707978,0.0414651759198209,0.0493280599863982,-8.74049151457139,5.30548218266074,0.213890521276785,0.218818813766292,0.94,0.951,14496384,1e+07
5,"indep",10,10,0,1.2588482363055,0.0383029847715834,0.0389154508531042,1000,1.28659003662223,1.30321215639141,0.027741800316736,0.0443639200859187,0.0365814158048316,0.0441836520004559,0.0360774829435906,0.0429254698189066,0.0362392795906874,0.0434232984582942,-5.38784429778192,11.5836962090094,0.197570972745557,0.20210069967133,0.942,0.948,14495847,1e+07
0.2,"indep",20,20,0,NA,0.443199808123233,0.0721410951153798,378,-1.4136352295129,-1.03356109471816,NA,NA,1419.15001302213,0.378883080700486,1.52207222575648,0.403450054577924,4.44686543792525,0.389343508878108,903.354549442581,439.697253355256,NA,NA,NA,NA,4574090,3780000
0.3,"indep",20,20,0,NA,0.395535238360125,0.089395469742615,534,-1.33547915800798,-1.00728660617655,NA,NA,102.789809247692,0.372267891157456,1.1343678739112,0.394729943038149,3.38765347025605,0.382606396402126,756.473239729825,327.993048757074,NA,NA,NA,NA,6547669,5340000
0.4,"indep",20,20,0,-1.75327894865999,0.373146478046312,0.117642934173729,614,-1.17406174430222,-0.935414192978811,0.579217204357773,0.817864755681179,722.943825547343,0.350690714746262,0.783763353975123,0.378681719068961,1.68112901917553,0.362177772647828,350.527907425909,207.86190024212,0.841445968229734,0.863837332178843,0.763843648208469,0.798045602605863,7676518,6140000
0.5,"indep",20,20,0,-1.29513358272291,0.407489690271858,0.129581165807479,729,-1.10359538035649,-0.89140010851879,0.191538202366421,0.403733474204124,264.67836691903,0.33755284710436,0.569588390630256,0.357877051378747,1.3343407770868,0.347595802221498,227.453874034601,168.245620461485,0.666046246494243,0.499470170600322,0.872427983539095,0.910836762688615,9287135,7290000
0.6,"indep",20,20,0,-1.02011041426328,0.385736742730862,0.147047753423304,818,-0.98655310715974,-0.823675598059795,0.0335573071035374,0.196434816203482,33.3713647670101,0.316605755651001,0.43544280340538,0.338819443948683,0.925139868746626,0.325516975034874,139.837113311271,121.36820689658,0.621603792443965,0.380434011520994,0.894865525672372,0.926650366748166,10605411,8180000
0.7,"indep",20,20,0,-0.817377860209195,0.334405297281816,0.161587903852905,862,-0.834694808779393,-0.733253661610084,-0.0173169485701976,0.0841241985991108,19.434917224961,0.289686895694031,0.3125052344884,0.30468260525437,0.537611124063151,0.295209015409129,60.7663300889899,82.6925211418426,0.578201723284752,0.352795694659019,0.906032482598608,0.940835266821346,11493481,8620000
0.8,"indep",20,20,0,-0.654666659991881,0.296174710201765,0.15803883607022,933,-0.707071912820962,-0.646410211608768,-0.0524052528290809,0.00825644838311301,10.0214298536517,0.263696175501583,0.233458689767762,0.26941089418253,0.353244450164099,0.265640626853108,19.2689443077214,68.0856639155945,0.546446316948473,0.356388647698243,0.916398713826367,0.941050375133976,12748734,9330000
0.9,"indep",20,20,0,-0.51781874475336,0.239660182423423,0.14213431134632,976,-0.57598358317781,-0.552342215842922,-0.0581648384244501,-0.0345234710895612,20.6666330601915,0.234933111837769,0.176950478981934,0.226979838512014,0.244075327960776,0.232730532861779,1.84225243121625,63.7398673531513,0.49274514445783,0.35730209609384,0.932377049180328,0.944672131147541,13629247,9760000
1,"indep",20,20,0,-0.399253848108886,0.214245389339198,0.137952610967662,986,-0.469745766578108,-0.462444868040784,-0.0704919184692226,-0.0631910199318984,16.6155740925383,0.207845296791868,0.142731514555587,0.190344319077404,0.186891894261183,0.201299627560832,-12.7673669722282,45.9194038799452,0.467971379996198,0.361307261205301,0.94421906693712,0.959432048681542,13994347,9860000
