"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.6,"indep",10,10,0,-1.26286432215413,0.450933620459465,0.0812396316524314,674,-0.83117469896926,-0.568263689176559,0.431689623184867,0.694600632977569,5289.69281089573,0.370492773207271,1172953.54289307,356.049302134154,0.797885023198862,0.750725740471946,0.839762611275964,0.873887240356083,8287012,6740000
0.7,"indep",10,10,0,-0.965510768280782,0.383419733862059,0.0929994589179754,739,-0.742949360850579,-0.529791963797639,0.222561407430202,0.435718804483143,663.270697142991,0.359835487178684,172888.148122186,286.922129833095,0.657597504583374,0.531718431590342,0.875507442489851,0.903924221921516,9172750,7390000
0.8,"indep",10,10,0,-0.757063866314888,0.453155183099217,0.10254424899218,793,-0.671003725739135,-0.476871343280963,0.0860601405757526,0.280192523033925,4483.66015480818,0.343221012286032,989331.50647501,234.705276657892,0.678225690150599,0.425350193566312,0.885245901639344,0.921815889029004,10003991,7930000
0.9,"indep",10,10,0,-0.593721751187363,0.375221921371342,0.120425051847904,844,-0.558751160344557,-0.415467373564881,0.0349705908428055,0.178254377622482,21.3861785872616,0.325379811452638,5599.60798375011,170.192793326417,0.613188623393336,0.38994485671536,0.898104265402844,0.928909952606635,10800397,8440000
1,"indep",10,10,0,-0.458145365937078,0.400273598167321,0.131749452626135,885,-0.484685894466664,-0.363475744308911,-0.0265405285295859,0.0946696216281662,1825.69310915355,0.309084035071036,456011.299249463,134.599862777512,0.632871006817621,0.374917218126027,0.900564971751412,0.929943502824859,11476607,8850000
1.5,"indep",10,10,0,0.0123463062951856,0.176858510460163,0.141383853545855,990,-0.0106650294543502,-0.0141322447738504,-0.0230113357495358,-0.026478551069036,0.452662433669405,0.207752986861067,155.946085088943,46.9425126354242,0.420962453281857,0.376752113782115,0.922222222222222,0.936363636363636,13789907,9900000
2,"indep",10,10,0,0.320926943086197,0.100100034925322,0.10576845921034,1000,0.30698866484879,0.294073378839702,-0.0139382782374074,-0.0268535642464952,0.116228671488267,0.13076862143235,16.1125184171783,23.6366894333722,0.316534690817011,0.326165302667022,0.95,0.957,14378047,1e+07
3,"indep",10,10,0,0.740802270462108,0.0532528452325119,0.0566408748674046,1000,0.757406482534801,0.764178091637667,0.0166042120726931,0.0233758211755599,0.054737238499565,0.0647842835377781,2.78744405218523,14.3772649865262,0.231247253488197,0.239020214643383,0.946,0.952,14493436,1e+07
4,"indep",10,10,0,1.03343137973649,0.0392343929077662,0.0405153625436168,1000,1.05136008331339,1.06546336441279,0.0179287035769016,0.0320319846763029,0.0420336891807434,0.0502620536603112,7.13480205889252,24.0567787248643,0.198787818859222,0.203717685102143,0.944,0.957,14495489,1e+07
5,"indep",10,10,0,1.2588482363055,0.0361941271592443,0.0368633611303041,1000,1.28670003250155,1.30345747630348,0.02785179619605,0.0446092399979818,0.0365271123749913,0.0442114399054789,0.919997916463133,19.9332848385715,0.192181309141736,0.197018989090827,0.947,0.954,14495663,1e+07
0.2,"indep",20,20,0,NA,0.595252582363685,0.0527042101568878,426,-1.49287232684422,-1.04699445297533,NA,NA,265144.429724162,0.382659129580172,44543080.0852173,626.050401744164,NA,NA,NA,NA,5150503,4260000
