"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_tried","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
1,"indep",20,20,-0.399253848108886,-0.45340221448404,-0.46881973612045,-0.0541483663751548,-0.0695658880115642,0.493542194652992,0.210055348854994,61.3777253178651,-31.3164005908283,0.443968723752846,0.565955315200406,0.935834527038696,0.908922820598783,1e+10,11260780000,0.00140452613270279,0.00177614515375394,0.00619067798618135,0.000340981656005012,0.00078105186043288,0.000917060376291239,0.01567,0,0.888037951189882
1.2,"indep",20,20,-0.200238783298563,-0.2345895429182,-0.217879087325678,-0.0343507596196371,-0.0176403040271151,0.204515188416129,0.152384381313087,34.9454888252744,0.547959224380556,0.355884785660297,0.394346769480541,0.942324471232437,0.93766108732061,1e+10,10731485000,0.0011217683132127,0.00124579190184811,0.00297647797954591,0.000284887906546588,0.000738278354779598,0.000765643617868467,0.00287,0,0.931837485678823
1.4,"indep",20,20,-0.0362853464174178,-0.0560160277972009,-0.0364264893786907,-0.0197306813797831,-0.000141142961272898,0.103994490886172,0.109531472231893,23.6072114711638,30.1884334020588,0.294004490967583,0.290755207145848,0.943527011212579,0.948608179881373,1e+10,10555620000,0.000927739175204164,0.000919453185079311,0.00117370989638465,0.000214735704859553,0.000730041426331223,0.000698297330542258,0.00023,0,0.947362637154426
1.6,"indep",20,20,0.103507084692163,0.0943941249209838,0.107586315701599,-0.00911295977117951,0.00407923100943577,0.0674886139023545,0.0799661867907383,18.3953851276772,40.2848115384236,0.251623191812993,0.238833013897247,0.946139461394614,0.954969549695497,1e+10,10509905000,0.00079518833788828,0.00075514990997153,0.000249342985544291,0.000147696281256112,0.000713863366390444,0.000655767785738714,1e-05,0,0.951483386386461
1.8,"indep",20,20,0.225537809680109,0.220299575008746,0.226948485315571,-0.00523823467136225,0.00141067563546282,0.0525354039699107,0.0615341085632278,14.0889785382913,33.6310956181826,0.225553360999315,0.214590951191901,0.94894,0.95937,1e+10,10501655000,0.000713073544800922,0.000678584901137392,7.94439337313701e-05,9.78291762311105e-05,0.000696081003906873,0.000624333269176007,0,0,0.952230862659267
2,"indep",20,20,0.333914686287828,0.333521692679008,0.335201838329565,-0.000392993608820003,0.00128715204173718,0.0434025821956985,0.0496959552011898,10.1391378503587,26.1093092532996,0.206477551430377,0.198515263979261,0.94933,0.96145,1e+10,10500115000,0.00065294143024638,0.000627750327302589,4.83065948239708e-05,6.35137371361404e-05,0.000693560026962339,0.000608801260675436,0,0,0.952370521656191
2.5,"indep",20,20,0.561652450629241,0.56582645237724,0.560730005477827,0.00417400174799876,-0.00092244515141382,0.0313019340779348,0.0350956780243218,4.42199854213754,17.0777764200327,0.176844180969562,0.173138471101399,0.94837,0.96483,1e+10,1.05e+10,0.000559077406266334,0.000547506886112521,2.2286550097887e-05,2.58351448782292e-05,0.000699745261505928,0.00058252099618812,0,0,0.952380952380952
3,"indep",20,20,0.746452048089074,0.753880973914866,0.745624365348575,0.0074289258257918,-0.000827682740499713,0.0253412955516844,0.0285455609343382,2.43446761140951,15.3867343133381,0.159510063816903,0.157287855547409,0.94665,0.96474,1e+10,1.05e+10,0.000503870275023258,0.000497383472124899,1.296151498218e-05,1.44767576707747e-05,0.000710660098077836,0.000583238650982597,0,0,0.952380952380952
4,"indep",20,20,1.03658596433312,1.04706327761419,1.03597465922513,0.010477313281068,-0.000611305107986571,0.0198048528529892,0.0227305806471474,-0.6468171884496,14.0304122031312,0.142511361391762,0.141187684931328,0.94519,0.96372,1e+10,1.05e+10,0.000449443166944431,0.000446472709358736,6.10141732603125e-06,7.41493282391364e-06,0.000719762904712378,0.000591301628612673,0,0,0.952380952380952
5,"indep",20,20,1.26086031145536,1.27186705444102,1.2595565531145,0.0110067429856606,-0.00130375834085728,0.0173610928390878,0.0202175656506289,-1.4576543890272,14.7558140620762,0.133737654697564,0.132738180461674,0.94652,0.96508,1e+10,1.05e+10,0.000421482971669651,0.000419736833569249,3.57752102475929e-06,5.30490613737386e-06,0.000711476560400973,0.000580522123609428,0,0,0.952380952380952
0.2,"indep",100,100,-2.30258509299405,-1.97585708809417,-2.23041534256521,0.32672800489988,0.0721697504288366,3.3068135594211,0.371355222717864,211.053831711557,-65.0686490554031,0.711302153628089,0.849946207767335,0.835654429964513,0.744371216413682,1e+10,17537585000,0.00243975976542088,0.00267807254437528,0.0225403361288029,0.000271736776459895,0.00143100502450231,0.00168441251720416,0.32934,0,0.570203936288833
0.3,"indep",100,100,-1.67620360874636,-1.68576798858888,-1.84573004408468,-0.00956437984252134,-0.169526435338317,1.729632861695,0.306327995046252,134.546077108761,-58.4605316319668,0.568490402627917,0.835707139234704,0.913755219897155,0.838784267258734,1e+10,13953745000,0.00192791026920351,0.00258780584091698,0.0143222321237256,0.000336567138837155,0.000952146990921988,0.00124724422842269,0.13073,0,0.716653486214633
0.4,"indep",100,100,-1.32963001846639,-1.39958296381606,-1.43903292612485,-0.0699529453496697,-0.109402907658464,0.761520712639212,0.231802595507972,83.4384842714928,-44.1623634598028,0.481429015020184,0.661186880964501,0.936199090334546,0.889410375159295,1e+10,11814615000,0.00153318446803629,0.00206204594369018,0.0084959740541668,0.000347359340336863,0.000786667369026407,0.00100948967459061,0.03481,0,0.846409298991122
0.5,"indep",100,100,-1.08141157530944,-1.13882385555213,-1.11579134701233,-0.0574122802426844,-0.0343797717028869,0.275066424741356,0.161384477889805,46.5953350185793,-13.9909146479792,0.375872108337256,0.441522354637118,0.94663167104112,0.927555032632415,1e+10,10854330000,0.00117796745287144,0.00139198404646586,0.00405772425588701,0.000302294432897668,0.000712770268718495,0.000822036709419093,0.00559,0,0.921291318764032
0.6,"indep",100,100,-0.885978420965938,-0.922188623591972,-0.888953895243961,-0.0362102026260337,-0.00297547427802292,0.110421055484007,0.106011922098004,28.7524663317522,23.6113562839886,0.290146417192427,0.294709513304499,0.950108568398091,0.944565075997879,1e+10,10508480000,0.000910641739717564,0.000931910469101609,0.00159663836812223,0.000224856611607361,0.00068871009078376,0.000723843228822753,0.00063,0,0.951612412071013
0.7,"indep",100,100,-0.724084882418989,-0.747583163981918,-0.721110467169637,-0.0234982815629287,0.00297441524935205,0.0604930906348251,0.0694531487730108,20.4178796656162,38.2538207848128,0.235710562166251,0.224295584796146,0.954368631058932,0.952678580357411,1e+10,10340640000,0.00074168389668598,0.000709226093813685,0.000503976048100524,0.000148347591155238,0.00065992767500114,0.000671442144858818,3e-05,0,0.967058131798419
0.8,"indep",100,100,-0.585591490751473,-0.601268981246317,-0.582609200057989,-0.0156774904948446,0.00298229069348388,0.0415281945881892,0.0474671461165517,16.3765232938373,33.0195422773309,0.199751501475914,0.188925587210826,0.95619,0.95554,1e+10,10199155000,0.000629724345935727,0.000597363710720513,7.29435416746022e-05,8.92361845211594e-05,0.000647230128316042,0.000651792209220086,0,0,0.980473382353734
0.9,"indep",100,100,-0.464434757040508,-0.475667305011416,-0.462581950292133,-0.0112325479709077,0.00185280674837446,0.0316206963734653,0.0346790740238731,12.2662174832453,23.124690882797,0.175033420790668,0.167836132426206,0.95532,0.95677,1e+10,10089260000,0.00055236612285782,0.000530714764380089,3.95034392981847e-05,5.1481174851086e-05,0.000653327617662073,0.000643126481339402,0,0,0.991152968602256
1,"indep",100,100,-0.356674943938733,-0.364116998636148,-0.354711557525221,-0.00744205469741521,0.00196338641351179,0.0252420894171815,0.0269018481970755,8.97964089003558,16.145446889986,0.156881356510036,0.15220325134317,0.95364,0.95814,1e+10,10028370000,0.00049554637934833,0.000481271300362779,2.61655735558708e-05,3.16995201447039e-05,0.000664911651274062,0.00063330672189706,0,0,0.997171025799806
1.2,"indep",100,100,-0.171245154473388,-0.17598489927711,-0.170754431166522,-0.00473974480372161,0.000490723306865753,0.0176913834670593,0.0183725882167474,4.81521558208216,8.85111378230166,0.132314415229477,0.129918099434976,0.95165,0.95644,1e+10,10000935000,0.000418148468188697,0.000410836226954703,1.38980551683089e-05,1.52763895552669e-05,0.000678323503204776,0.000645465153203487,0,0,0.999906508741433
1.4,"indep",100,100,-0.0152296037423545,-0.0179622346824884,-0.0150047381927338,-0.00273263094013393,0.000224865549620732,0.0134082679640276,0.0137813074394716,3.70604697609727,6.59131519031644,0.115107699457753,0.113705894219948,0.95093,0.95499,1e+10,10000005000,0.000363901739856758,0.000359570703852993,8.41250715526569e-06,8.90917125356583e-06,0.000683096882586943,0.000655622604094764,0,0,0.99999950000025
1.6,"indep",100,100,0.11950845023525,0.118032428925069,0.119600769771216,-0.00147602131018082,9.23195359666951e-05,0.0107370293759844,0.0109835126911886,2.92756953076807,5.29041382181596,0.103044280883657,0.102134911690495,0.95138,0.95482,1e+10,1e+10,0.000325822825235361,0.00032298043252631,5.58464651571275e-06,5.81661045540733e-06,0.000680118339702731,0.00065680109317814,0,0,1
1.8,"indep",100,100,0.238117089498186,0.237639435396616,0.238288028132502,-0.000477654101569525,0.00017093863431622,0.00894919838339498,0.00913377509517638,2.10893007064565,4.21492099279641,0.0942513656732662,0.0936178703577196,0.95115,0.95457,1e+10,1e+10,0.000298046650872663,0.000296046686756309,3.9570989298559e-06,4.08146397042873e-06,0.000681642703327777,0.000658529536922984,0,0,1
2,"indep",100,100,0.3440673193682,0.344042846574468,0.344053985979023,-2.44727937319111e-05,-1.33333891774168e-05,0.0076951323753426,0.00784676495136453,1.18865476017183,3.18257710446359,0.0876737236991685,0.087204715595183,0.94897,0.95236,1e+10,1e+10,0.000277250033290196,0.000275766899602552,2.94167483610256e-06,3.01534808665628e-06,0.000695887484439834,0.000673575759658852,0,0,1
