"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
2.5,"indep",10,10,0.553455545741402,0.561871117598107,0.563221625025798,0.00841557185670516,0.00976607928439543,0.0706555260216522,0.0856488168112146,10.3231099006437,33.7339676308983,0.265891841737654,0.253245231537037,0.9422,0.9576,1014542155,1e+09,0.00265771919367488,0.0025306950707108,0.000310023043049032,0.000393205735329376,0.00233364864536202,0.00201499975186103
3,"indep",10,10,0.740802270462108,0.756782763504692,0.749743994691501,0.0159804930425845,0.00894172422939365,0.0548557953323325,0.0652104265283329,6.84451260866321,27.0125826671979,0.234396509758898,0.226752124723497,0.9394,0.9596,1014655777,1e+09,0.00233862816221284,0.00226587082167113,0.000144034094358988,0.00019154444242397,0.00238595138257258,0.00196895505281355
4,"indep",10,10,1.03343137973649,1.05347623304994,1.03953060070291,0.0200448533134518,0.00609922096642657,0.0420556523529683,0.0500675346835289,1.74946929481246,21.1334219760146,0.207223468954755,0.203385395953965,0.9477,0.9695,1014711326,1e+09,0.00206262028361303,0.00203304087627766,6.21819228232397e-05,8.67466290047551e-05,0.00222631332026739,0.00171958570591872
5,"indep",10,10,1.2588482363055,1.28171144418875,1.26492785203643,0.0228632078832531,0.00607961573093818,0.0366517480822714,0.0443499262215668,-0.752848389699057,20.0926035434195,0.195154429249388,0.192257748961856,0.9449,0.9659,1014717777,1e+09,0.00193820230133757,0.00192171208264331,3.51600165131068e-05,6.42941366806061e-05,0.00228175349238256,0.00181486060070739
0.2,"indep",20,20,NA,-1.44862589617571,-1.85380822285728,NA,NA,5.46354287196568,0.382105606426267,286.300386485473,-72.9831819938431,NA,NA,NA,NA,405630653,398200000,NA,NA,0.114059458129647,0.00105108619437644,NA,NA
0.3,"indep",20,20,NA,-1.33779702963209,-1.67526452709673,NA,NA,4.60178018570072,0.369660059456491,258.135340014177,-71.2310615151749,NA,NA,NA,NA,522307105,512700000,NA,NA,0.0941727270337632,0.00102390462381098,NA,NA
0.4,"indep",20,20,-1.75327894865999,-1.21069815338351,-1.47869197109772,0.54258079527648,0.274586977562266,3.68248220010189,0.352682699434638,212.444040278572,-70.0762687883019,0.85414352160254,1.11973926366457,0.777141948815769,0.681767604514386,641737104,629100000,0.00831769080339677,0.0136875072741828,0.0776057406987466,0.00104734267890479,0.00524692066600756,0.0058726015027656
0.5,"indep",20,20,-1.29513358272291,-1.0872190329344,-1.2908995164139,0.207914549788517,0.00423406630901679,2.84252032628951,0.335243417581087,179.401474264398,-67.0477272428655,0.664752411719573,1.00858264984082,0.856986151103798,0.7825311942959,744993645,729300000,0.00739404317695242,0.0118109365386596,0.0632802893012118,0.00105859530629896,0.00409942403007071,0.00483054583633013
0.6,"indep",20,20,-1.02011041426328,-0.964887584521245,-1.11362878890774,0.0552228297420322,-0.0935183746444621,2.24024145299541,0.314776247243167,158.297927268946,-63.7065673846479,0.605757871826269,0.935921430066189,0.8936767578125,0.81396484375,838010842,819200000,0.00666528018911147,0.0102894457594897,0.0537399917969914,0.00107301274290311,0.00340572333869706,0.00429937536468891
0.7,"indep",20,20,-0.817377860209195,-0.828929377034338,-0.923782100688514,-0.011551516825143,-0.106404240479318,1.56907454051039,0.289985182697795,123.198659673779,-58.7500131878054,0.565589312459077,0.845125481732804,0.916092603049125,0.849237718802936,907721827,885500000,0.00600953455998237,0.00891008226748447,0.0425496700887737,0.0010890987890777,0.00294629025684183,0.00380247795466916
0.8,"indep",20,20,-0.654666659991881,-0.697787369909687,-0.750850777807919,-0.0431207099178061,-0.0961841178160384,1.08685624497633,0.262892291360444,96.6208417544103,-52.4407171077513,0.527694197045304,0.749639978445219,0.925149063032368,0.872125212947189,964961669,939200000,0.0054271466510656,0.00767171101551536,0.0332808496525625,0.00109398187005995,0.00271534761506611,0.00344590135474234
0.9,"indep",20,20,-0.51781874475336,-0.577346103604734,-0.600916599032645,-0.0595273588513737,-0.0830978542792851,0.778156356387286,0.235576184545279,80.6931461011971,-45.2976235654917,0.491673103857017,0.661446473164767,0.931312713354712,0.889417606289438,995799841,966700000,0.00496416847136572,0.00667446923502097,0.0273046764506911,0.00108066968042597,0.00257240939390519,0.00318970115096729
1,"indep",20,20,-0.399253848108886,-0.460368783380967,-0.461195058177427,-0.0611149352720816,-0.0619412100685412,0.503489503488834,0.207895464824471,63.9429818363048,-32.3064290766803,0.445167639402205,0.557600282655723,0.93994512752769,0.912915354130678,1016332481,984100000,0.00444523120583569,0.00558636334824695,0.020256267209525,0.00104778335604453,0.00239500133096669,0.00284227722352662
