"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","Var_MC_SAFEpt","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","delta_fail_prop","safe_fail_prop","delta_cap_rate","delta_cap_n","maxVar","boot_keep","boot_tried","boot_accept_prop","SAFE_ok_rate","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
0.2,"indep",6,14,NA,-1.05310909433655,-1.20576091375178,NA,NA,5.83627483237712,0.447034342765119,1.45436440874029,301.293843365724,-69.2625630771369,NA,NA,NA,NA,0.6304,0,0.169588744588745,6268,20,10148150120,22633310278,0.448372332431822,1,NA,NA,0.0382947312573172,0.000182178226552047,NA,NA
0.3,"indep",6,14,NA,-0.995288924506787,-1.18768319201163,NA,NA,5.35671540387921,0.440739486674612,1.41454897355918,278.687164884863,-68.8424017186442,NA,NA,NA,NA,0.58356,0,0.151642493516473,6315,20,10152149704,21861910126,0.464376152197525,1,NA,NA,0.0349877757289941,0.000203175812708484,NA,NA
0.4,"indep",6,14,NA,-0.920617080587008,-1.15017228346133,NA,NA,4.7613131739771,0.432137044405005,1.32112267670253,260.399019556696,-67.2901652491802,NA,NA,NA,NA,0.52676,0,0.130546868396585,6178,20,10157184999,20876755030,0.486530832229629,1,NA,NA,0.0314140368003659,0.000227876721922149,NA,NA
0.5,"indep",6,14,-2.56198198970163,-0.844246001387987,-1.10223463697038,1.71773598831364,1.45974735273125,4.21241832614277,0.420672238490926,1.26307145966245,233.505938553034,-66.6945020986106,1.84624788023387,1.68057101914907,0.520498877155212,0.329503906757484,0.46119,0,0.112284478758746,6050,20,10163531645,19772434814,0.51402529534722,1,0.00291558515229039,0.00263336961179655,0.0280322720068431,0.000257249540428461,0.00215222112087679,0.00202493266514729
0.6,"indep",6,14,-1.39883117989595,-0.77056050400303,-1.04212438891625,0.628270675892918,0.356706790979702,3.70369172066547,0.40732135462443,1.18270977821987,213.153048099425,-65.5603291588996,0.915855197438344,0.925903739425581,0.750744023285476,0.667609641233607,0.38846,0,0.0965268011904373,5903,20,10171433946,18554226223,0.548200384308745,1,0.00269472976990748,0.00270197205870868,0.0248994191566941,0.000284065255824696,0.00174926778297132,0.00190490391604174
0.7,"indep",6,14,-1.03592568620658,-0.692856710978382,-0.964028429962935,0.343068975228198,0.0718972562436455,3.2168084802019,0.392198840378906,1.10557262102776,190.963109887027,-64.5252755975171,0.740845058115604,0.872296322971349,0.818711724341474,0.743982882018741,0.32235,0,0.0810595440123958,5493,20,10179876977,17390513026,0.585369561080826,1,0.00252241904042717,0.00274907114678057,0.0222280931338487,0.000311093138365353,0.00147995204318698,0.0016765374245827
0.8,"indep",6,14,-0.802343654837751,-0.60897960810292,-0.867051157397221,0.193364046734831,-0.0647075025594702,2.72723128772237,0.374466764169065,1.01070275216798,169.8351500352,-62.9498620276016,0.669992378380002,0.876072083099823,0.852751418048872,0.778354256834861,0.25602,0,0.0660232801957042,4912,20,10187426460,16235579932,0.627475365996677,1,0.00235183732206021,0.00276282983031538,0.0195833767888822,0.000335348528469734,0.00129914059991527,0.00152278194694841
0.9,"indep",6,14,-0.625964991095738,-0.523405011120701,-0.754439390633114,0.102559979975037,-0.128474399537376,2.25308423092768,0.355411801135599,0.902413657848381,149.673108483275,-60.6154230884531,0.628406091349653,0.871531585992595,0.877591681713467,0.80513044019675,0.19695,0,0.0512421393437519,4115,20,10197148822,15110309951,0.674847098111654,1,0.00218780874391047,0.0027259293181169,0.0170678265590062,0.000353734996123453,0.00115659263254672,0.00139776393990397
1,"indep",6,14,-0.482540448021794,-0.443200695911417,-0.642931847592899,0.0393397521103767,-0.160391399571105,1.8783663938291,0.335522435755069,0.80239447536289,134.095130450591,-58.1848522070985,0.601617104767538,0.857466042516894,0.892543602949783,0.822907643684888,0.1457,0,0.0405361114362636,3463,20,10203344727,14159111860,0.720620391157783,1,0.00205393659740471,0.00266369988608005,0.0150086016369438,0.00036914919331084,0.001059560244967,0.00130608142576926
1.2,"indep",6,14,-0.254619790305178,-0.278088121123006,-0.406954569913337,-0.0234683308178282,-0.152334779608159,1.22871976105225,0.293723701489389,0.599594292574403,104.925192962837,-51.0129257187783,0.551828595751843,0.778841183823006,0.911868212535354,0.856683291232161,0.07366,0,0.0235010903124123,2177,20,10217013071,12648740362,0.807749450031758,1,0.00181145786607184,0.00241535409096873,0.0113525900582588,0.000383938932788805,0.000931423344843164,0.00115125983289571
1.4,"indep",6,14,-0.0748580413796963,-0.115681848752081,-0.18398302813401,-0.0408238073723846,-0.109124986754314,0.76592466892609,0.251427031613569,0.436248202874235,75.5708479438475,-42.3660590560524,0.503917794751558,0.674838889054223,0.921690105941391,0.885498626685666,0.03154,0,0.0126695991574252,1227,20,10226794390,11628411538,0.879466155508883,1,0.00161395432985315,0.00210595274990393,0.00832326325350843,0.00037917624608885,0.000863296414188055,0.00102319509565964
1.6,"indep",6,14,0.0746203431648513,0.0400867610190634,0.0133639973748375,-0.034533582145788,-0.0612563457900138,0.438172587147297,0.211453209333095,0.290551674841028,50.8071111230172,-27.2235448483341,0.445471675904052,0.549880882266624,0.928306889014814,0.91136768396341,0.01176,0,0.00530235570306808,524,20,10232547909,10989920679,0.931084782854965,1,0.00141280486421059,0.0017280614311392,0.00552024876768096,0.000355453974768036,0.000820641141036131,0.000904089961748761
1.8,"indep",6,14,0.203049913633128,0.178245597377292,0.171285776939796,-0.0248043162558358,-0.0317641366933316,0.266049982101338,0.176452677660933,0.198201151735155,34.2323088297919,-10.9729302195397,0.396704553942065,0.451022615046579,0.931347059236877,0.927863718040094,0.00383,0,0.00227872752642621,227,20,10229229455,10630930612,0.962213923534919,1,0.00125444619234648,0.00142272436911797,0.00366437459283115,0.000321083664942009,0.000801158817747946,0.000819694921263382
2,"indep",6,14,0.315889117091827,0.30419650140262,0.304533478209203,-0.011692615689207,-0.0113556388826237,0.166923519432615,0.146328949496892,0.133944395778395,24.6215031711985,9.24604097582871,0.350942848470784,0.368256376280766,0.934650075580872,0.939605377754197,0.00107,0,0.000840899762746138,84,20,10219301145,10420331317,0.980707890576182,1,0.00110976202575391,0.0011639809405168,0.00221814043278414,0.000277468628504906,0.000781951000164173,0.000753710131938196
