"design","n1","n2","r","theta","lnM_true","delta_var_cap","delta_var_capped_rate","delta_var_capped_n","bias_PI","bias_BC","Var_MC_PI","Var_MC_BC","Var_delta_bar","Var_SAFE_bar","rb_delta_PI","rb_delta_BC","rb_SAFE_PI","rb_SAFE_BC","cover_PI","cover_BC","rmse_PI","rmse_BC","PI_valid_rate","SAFE_kept_rate","SAFE_status_ok","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","facet_label"
"indep",20,20,NA,0.8,-0.569717141594182,20,0,0,NA,-0.133846696609939,NA,0.160195909665418,NA,0.275539837835186,NA,NA,NA,72.0017935605682,NA,0.965,NA,0.421081783399001,0,0.518136931331634,1,NA,-0.703563838204121,NA,-0.133846696609939,NA,0.275539837835186,NA,72.0017935605682,NA,0.421081783399001,NA,0.965,"indep n1=20 n2=20"
"indep",100,100,NA,0.8,-0.569717141594182,20,0,0,NA,-0.0544159627161885,NA,0.0390919726363214,NA,0.0468527826402516,NA,NA,NA,19.8526947619917,NA,0.985,NA,0.204591323793238,0,0.9325,1,NA,-0.624133104310371,NA,-0.0544159627161885,NA,0.0468527826402516,NA,19.8526947619917,NA,0.204591323793238,NA,0.985,"indep n1=100 n2=100"
"indep",3,7,NA,0.8,-0.569717141594182,20,0,0,NA,0.282915713999044,NA,0.130316964864127,NA,0.455513105474321,NA,NA,NA,249.542445182985,NA,0.96,NA,0.45793742068911,0,0.450143848562483,1,NA,-0.286801427595138,NA,0.282915713999044,NA,0.455513105474321,NA,249.542445182985,NA,0.45793742068911,NA,0.96,"indep n1=3 n2=7"
"indep",6,14,NA,0.8,-0.569717141594182,20,0,0,NA,0.0177466607728083,NA,0.155139456575829,NA,0.372996088660917,NA,NA,NA,140.426321513253,NA,0.96,NA,0.393292134756767,0,0.474550360698794,1,NA,-0.551970480821374,NA,0.0177466607728083,NA,0.372996088660917,NA,140.426321513253,NA,0.393292134756767,NA,0.96,"indep n1=6 n2=14"
"indep",12,28,NA,0.8,-0.569717141594182,20,0,0,NA,-0.0947333850832146,NA,0.16742678671072,NA,0.282897145245325,NA,NA,NA,68.9676728575785,NA,0.95,NA,0.419003659920162,0,0.510585404545949,1,NA,-0.664450526677397,NA,-0.0947333850832146,NA,0.282897145245325,NA,68.9676728575785,NA,0.419003659920162,NA,0.95,"indep n1=12 n2=28"
"indep",40,160,NA,0.8,-0.569717141594182,20,0,0,NA,-0.0677850241963917,NA,0.0661068923816557,NA,0.0829026009500371,NA,NA,NA,25.4068947476982,NA,0.975,NA,0.26527564423643,0,0.7925,1,NA,-0.637502165790574,NA,-0.0677850241963917,NA,0.0829026009500371,NA,25.4068947476982,NA,0.26527564423643,NA,0.975,"indep n1=40 n2=160"
"indep",5,5,NA,0.9,-0.451934105937799,20,0,0,NA,0.178982202002811,NA,0.160693866064388,NA,0.439866616315047,NA,NA,NA,173.729562358527,NA,0.94,NA,0.438092484947917,0,0.463171041924255,1,NA,-0.272951903934988,NA,0.178982202002811,NA,0.439866616315047,NA,173.729562358527,NA,0.438092484947917,NA,0.94,"indep n1=5 n2=5"
"indep",10,10,NA,0.9,-0.451934105937799,20,0,0,NA,-0.0494096548348249,NA,0.162412659010977,NA,0.343439238738483,NA,NA,NA,111.460880469466,NA,0.955,NA,0.405020875643242,0,0.497167958930415,1,NA,-0.501343760772624,NA,-0.0494096548348249,NA,0.343439238738483,NA,111.460880469466,NA,0.405020875643242,NA,0.955,"indep n1=10 n2=10"
"indep",20,20,NA,0.9,-0.451934105937799,20,0,0,NA,-0.154581304618606,NA,0.123312183045877,NA,0.24656032370127,NA,NA,NA,99.9480648311454,NA,0.98,NA,0.382872043727715,0,0.524669555536107,1,NA,-0.606515410556405,NA,-0.154581304618606,NA,0.24656032370127,NA,99.9480648311454,NA,0.382872043727715,NA,0.98,"indep n1=20 n2=20"
"indep",100,100,NA,0.9,-0.451934105937799,20,0,0,NA,-0.046767931629553,NA,0.029100450974647,NA,0.0347776862192791,NA,NA,NA,19.5090971256022,NA,0.965,NA,0.176471493869917,0,0.9875,1,NA,-0.498702037567352,NA,-0.046767931629553,NA,0.0347776862192791,NA,19.5090971256022,NA,0.176471493869917,NA,0.965,"indep n1=100 n2=100"
"indep",3,7,NA,0.9,-0.451934105937799,20,0,0,NA,0.26218022595981,NA,0.178317621363895,NA,0.433602365790757,NA,NA,NA,143.162937276906,NA,0.91,NA,0.496149679170926,0,0.475888067508193,1,NA,-0.189753879977989,NA,0.26218022595981,NA,0.433602365790757,NA,143.162937276906,NA,0.496149679170926,NA,0.91,"indep n1=3 n2=7"
"indep",6,14,NA,0.9,-0.451934105937799,20,0,0,NA,-0.077555389464084,NA,0.140542015401213,NA,0.36851650311886,NA,NA,NA,162.210913986708,NA,0.98,NA,0.381908554184287,0,0.480859554436141,1,NA,-0.529489495401883,NA,-0.077555389464084,NA,0.36851650311886,NA,162.210913986708,NA,0.381908554184287,NA,0.98,"indep n1=6 n2=14"
"indep",12,28,NA,0.9,-0.451934105937799,20,0,0,NA,-0.141810161591253,NA,0.135678348899021,NA,0.267540454668598,NA,NA,NA,97.1872865785799,NA,0.985,NA,0.393840169466071,0,0.522750074391415,1,NA,-0.593744267529052,NA,-0.141810161591253,NA,0.267540454668598,NA,97.1872865785799,NA,0.393840169466071,NA,0.985,"indep n1=12 n2=28"
"indep",40,160,NA,0.9,-0.451934105937799,20,0,0,NA,-0.05913527341615,NA,0.057177241042195,NA,0.0616506024692855,NA,NA,NA,7.8236748495599,NA,0.96,NA,0.245740382108816,0,0.8575,1,NA,-0.511069379353949,NA,-0.05913527341615,NA,0.0616506024692855,NA,7.8236748495599,NA,0.245740382108816,NA,0.96,"indep n1=40 n2=160"
