"theta","design","n1","n2","rho","true_lnM","delta_bias","rmse_delta","safe_bias_mean","rmse_mean","safe_bias_med","rmse_med","safe_bias_mode","rmse_mode","relbias_delta","relbias_safe","cover_delta","cover_safe","boot_keep","boot_total"
5,"indep",20,20,0,1.26086031145536,0.0120716096438669,0.128661495033841,0.0243005192801491,0.130904841829997,0.0132724470665824,0.128502062054244,-0.00454273564336938,0.126975125827901,5.14662425405326,20.7584526885058,0.957,0.963,14969241,1e+07
0.2,"indep",100,100,0,-2.30258509299405,0.29100047895137,0.729072668652776,0.540641187434842,0.605620604259828,0.643851945714276,0.694494567595062,0.80451038509252,0.836830430725367,354.270391023603,202.328176743524,0.847507331378299,0.890029325513196,8552606,6820000
0.3,"indep",100,100,0,-1.67620360874636,0.028688873208258,0.53521635039889,0.104407805925657,0.341096712375285,0.197114770533558,0.3618414478595,0.337305590895408,0.429176853992613,84.3520573101428,90.0929761594384,0.901506373117034,0.933951332560834,11441190,8630000
0.4,"indep",100,100,0,-1.32963001846639,-0.0564734197014065,0.474192399999038,-0.0492464380956852,0.345187487768094,0.0292922210120674,0.316413424960742,0.143677119199982,0.307759473605843,2.25406305403417,56.8708772363247,0.927536231884058,0.950310559006211,13368668,9660000
0.5,"indep",100,100,0,-1.08141157530944,-0.0581350295280048,0.372163791862081,-0.0876221435665856,0.33094953525139,-0.0263703562003939,0.293210877273803,0.0610015889430002,0.260263316820597,-12.1637453575731,36.0473403792906,0.951612903225806,0.965725806451613,13942027,9920000
0.6,"indep",100,100,0,-0.885978420965938,-0.0406439573438121,0.296972010183476,-0.0745910491188025,0.305170487183332,-0.030908714444936,0.272885763524232,0.0328841839236071,0.241079342081044,-13.1867761334906,8.89988633231713,0.954,0.966,13398879,1e+07
0.7,"indep",100,100,0,-0.724084882418989,-0.0231756416496506,0.228351023555674,-0.0501035995493024,0.246636231222384,-0.0207845468650391,0.22514781816036,0.0236609001328209,0.204222159281853,-0.450728539313516,4.29368878905227,0.96,0.967,12241013,1e+07
0.8,"indep",100,100,0,-0.585591490751473,-0.0222188358348063,0.209128143958402,-0.0414137663469193,0.222967134608059,-0.0207885656931337,0.207848360173,0.0121073002071711,0.191841137003488,-11.0568364138748,-10.7955669837506,0.962,0.965,11164061,1e+07
0.9,"indep",100,100,0,-0.464434757040508,-0.0108893923683488,0.186559786865487,-0.0242373944910182,0.195518377472604,-0.00968851788748409,0.186233625965698,0.0150425450240981,0.175625655762856,-13.918304731421,-14.6840674909472,0.945,0.956,10433077,1e+07
1,"indep",100,100,0,-0.356674943938733,-0.00896493433562423,0.166539574738456,-0.0185230386290777,0.172633922407588,-0.00770988336661227,0.166438632282206,0.0104848846317183,0.159066184995125,-12.7725399188694,-13.6356185376544,0.951,0.956,10129620,1e+07
1.5,"indep",100,100,0,0.0544272024560408,-0.00545290808904033,0.110753392501689,-0.00766125866513013,0.112000298514771,-0.00441619314844362,0.110652633520902,0.00178185826212891,0.109082970903756,-3.47703558192473,-3.03420196953489,0.953,0.953,1e+07,1e+07
2,"indep",100,100,0,0.3440673193682,-0.00166482767325782,0.0844181321421077,-0.00165579672236249,0.0848699708065407,-0.000779926487143701,0.0844055920168512,0.00141630108149171,0.0845618538702733,7.41395538678336,8.35304139289343,0.954,0.955,1e+07,1e+07
3,"indep",100,100,0,0.750926350877081,0.000473198879025194,0.0685518691283253,0.0019560839845838,0.0687573368993717,0.00110673357917535,0.0685358114040434,-0.00063919626413067,0.0683182769025918,1.59113270045474,3.23093531200374,0.948,0.949,1e+07,1e+07
4,"indep",100,100,0,1.03909537988909,0.00326048673872359,0.061261158332247,0.00523316424493836,0.0614749301574725,0.0036999014083472,0.0612300962354121,0.000855671901135002,0.0610004052115283,0.929595037956821,3.24743749960716,0.948,0.948,1e+07,1e+07
5,"indep",100,100,0,1.26246416206874,0.00129309058674609,0.0565188586070661,0.00345177583675693,0.056633242909452,0.00156101776316708,0.0564882662209227,-0.00186595265367662,0.0567924197834584,4.20982953369586,7.12377396770552,0.959,0.961,1e+07,1e+07
0.2,"indep",3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.24997658955,479.333124964012,NA,NA,4089012,3590000
0.3,"indep",3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,943.181864155955,449.096532598426,NA,NA,4590933,4030000
0.4,"indep",3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,653.022111028382,389.945657443456,NA,NA,4629202,4070000
0.5,"indep",3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.129470562286,269.649327075757,NA,NA,5247755,4600000
0.6,"indep",3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,460.5495858458,270.962232457229,NA,NA,5657316,4940000
0.7,"indep",3,7,0,-2.48777198714249,2.04475827971458,2.18103861850312,2.35216330491449,2.37670387187195,2.41810658746373,2.43903842440054,2.52106965959375,2.53723175106731,417.837340138266,191.645953566287,0.445075757575758,0,6045925,5280000
0.8,"indep",3,7,0,-1.25109907344903,0.83355781836068,1.09050986966629,1.11167024161152,1.15541941952325,1.17882173249601,1.21497787346629,1.28421765284515,1.31111987021105,384.92839948317,206.331204590337,0.691927512355848,0.693574958813839,6950349,6070000
